Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
201,5,"[-119.851, 32.1659, 134.857, 58.0342, -148.247]","[-98.1286, -106.474, -107.032, -113.76, -128.142]","[3.56074e-07, 3.65943e-07, 3.90835e-07, 3.99847e-07, 4.91123e-07]","[154.96, 154.96, 20.6558, 20.6558, -41.3793]","[43.0358, 138.39, 48.2471, 133.18, 57.9988]","[-25.0403, -25.0403, -20.6558, -20.6558, -39.3332]","[136.964, 138.39, 131.753, 133.18, 122.001]",256.728,127.826,2
216,5,"[14.5733, 46.798, 121.579, 33.3472, -124.565]","[-97.6283, -105.0, -106.123, -114.809, -143.229]","[3.36164e-07, 3.46601e-07, 3.56673e-07, 3.66526e-07, 3.58457e-07]","[13.4436, 13.4436, 168.298, 168.298, 162.087]","[39.2659, 142.131, 43.1388, 138.288, 26.6573]","[-166.556, -166.556, -168.298, -168.298, -168.755]","[140.734, 142.131, 136.861, 138.288, 134.957]",128.728,143.826,2
217,5,"[114.673, -105.438, -119.96, -179.89, 100.808]","[-96.8168, -102.229, -111.387, -130.099, -133.281]","[3.06205e-07, 3.17627e-07, 4.71741e-07, 6.0432e-07, 4.71841e-07]","[17.8564, 17.8564, 7.22249, 108.458, 8.84636]","[31.7918, 149.477, 56.5156, 64.4898, 56.5236]","[-162.144, -162.144, -172.778, 141.314, -174.0]","[148.208, 149.477, 123.484, 115.51, 123.476]",144.728,143.826,2
220,5,"[-37.0285, -67.2319, -178.482, -98.3146, 19.6764]","[-95.5608, -106.199, -126.106, -132.419, -136.153]","[2.65006e-07, 2.78125e-07, 4.10058e-07, 5.9925e-07, 4.44935e-07]","[97.6166, 97.6166, -90.3494, -38.1909, -66.8323]","[10.8547, 169.663, 50.6023, 64.2582, 54.2006]","[-82.3834, -82.3834, -88.186, -45.1086, -70.5801]","[169.145, 169.663, 129.398, 115.742, 125.799]",192.728,143.826,2
223,5,"[50.1054, 153.947, -131.392, 112.376, 44.3754]","[-97.009, -117.468, -123.313, -128.297, -131.708]","[3.13048e-07, 3.24249e-07, 3.13319e-07, 4.71784e-07, 3.17626e-07]","[163.48, 162.801, 165.692, 5.88113, 145.871]","[33.7584, 148.886, 39.4151, 124.958, 39.245]","[-16.5202, -16.3836, -16.9573, -7.98557, -2.07302]","[146.242, 147.271, 147.19, 125.636, 148.239]",240.728,143.826,2
224,5,"[-139.629, 53.8429, -175.913, -105.363, -32.8364]","[-97.8404, -104.018, -109.58, -125.947, -126.58]","[3.44466e-07, 3.54658e-07, 4.21285e-07, 3.92252e-07, 4.29659e-07]","[167.337, 167.337, 6.87605, -42.4584, 6.87605]","[40.9258, 140.487, 51.8453, 48.4317, 129.554]","[-12.6627, -12.6627, -8.92211, -16.6436, -8.92211]","[139.074, 140.487, 128.155, 131.568, 129.554]",256.728,143.826,2
238,5,"[-132.281, -115.84, 173.684, 57.6201, 88.0522]","[-98.4181, -113.928, -133.151, -142.864, -144.485]","[3.68132e-07, 3.77686e-07, 3.75438e-07, 3.93787e-07, 3.84674e-07]","[-0.863149, -0.863149, -36.4976, 71.1095, -0.701685]","[45.0097, 136.422, 46.1138, 48.6295, 65.9747]","[179.137, 179.137, -174.0, 169.179, 178.952]","[134.99, 136.422, 133.886, 131.371, 148.536]",112.728,159.826,2
239,5,"[176.711, -154.208, -128.049, -159.302, 77.0558]","[-97.5338, -106.551, -131.402, -132.607, -139.034]","[3.32528e-07, 3.43075e-07, 4.26041e-07, 4.25306e-07, 3.38176e-07]","[-1.08579, -1.08579, -106.196, -110.762, -0.878903]","[38.4931, 142.894, 52.3461, 52.2696, 54.1067]","[178.914, 178.914, -160.303, -158.753, 178.768]","[141.507, 142.894, 127.654, 127.73, 148.535]",128.728,159.826,2
240,5,"[-92.3298, -72.6589, -34.0295, -90.5275, -157.537]","[-107.699, -119.252, -127.623, -128.762, -129.302]","[5.59538e-07, 3.02338e-07, 5.59607e-07, 5.6587e-07, 5.59681e-07]","[111.557, -1.58647, 110.329, 111.557, 113.352]","[62.2806, 27.4856, 62.2843, 118.916, 62.2884]","[140.118, 178.57, 139.282, 140.118, 141.314]","[117.719, 148.533, 117.716, 118.916, 117.712]",144.728,159.826,2
242,5,"[-118.213, 47.2622, 67.7377, 26.991, -121.276]","[-95.5429, -105.301, -110.211, -115.535, -118.233]","[2.64463e-07, 2.77608e-07, 2.7483e-07, 2.87501e-07, 2.7483e-07]","[-4.79317, -4.79317, -177.454, -177.454, -177.422]","[10.223, 170.266, 18.7372, 162.117, 18.4999]","[175.207, 175.207, 177.454, 177.454, 177.463]","[169.777, 170.266, 161.263, 162.117, 161.189]",176.728,159.826,2
